Var1,Var2
181,163.748237962963
182,163.744590277778
183,163.732124074074
184,163.723671296296
185,163.706289351852
186,163.694421759259
187,163.670089351852
188,163.639079096045
189,163.623191203704
190,163.621778240741
191,163.609909259259
192,163.605223611111
193,163.603656944444
194,163.602231944445
195,163.601540277778
196,163.601394907407
197,163.601230225989
198,163.590556018518
199,163.589433962264
200,163.581692049808
201,163.568315740741
202,163.548341666667
203,163.546700925926
204,163.515568518519
205,163.511033333333
206,163.504756481481
207,163.498752777778
208,163.484674074074
209,163.476551851852
210,163.460113425926
211,163.455225925926
212,163.428275462963
213,163.426985404896
214,163.422000925926
215,163.414376851852
216,163.406178703704
217,163.405801388889
218,163.404890277778
219,163.398581417625
220,163.390456944444
221,163.381614351852
222,163.377548493409
223,163.371588041431
224,163.361731018519
225,163.359317592593
226,163.350642592593
227,163.346864877589
228,163.343400188324
229,163.341875235405
230,163.336862962963
231,163.323409722222
232,163.314721759259
233,163.312350925926
234,163.294512241055
235,163.293631944444
236,163.291300376648
237,163.286686111111
238,163.283313840156
239,163.27420787037
240,163.273015277778
241,163.271756481482
242,163.268915277778
243,163.254173258004
244,163.253490740741
245,163.249066570881
246,163.244311111111
247,163.244019907407
248,163.243064500942
249,163.227628240741
250,163.213464814815
251,163.210411111111
252,163.209112037037
253,163.205928703704
254,163.180210648148
255,163.17893287037
256,163.177306481481
257,163.1768173258
258,163.175702314815
259,163.164711574074
260,163.150735875706
261,163.143376851852
262,163.135444915254
263,163.126575925926
264,163.117707407407
265,163.114061111111
266,163.106123611111
267,163.103261574074
268,163.084014124294
269,163.0801875
270,163.067890740741
271,163.064597685185
272,163.056046296296
273,163.040026836158
274,163.036309386973
275,163.035070150659
276,163.023557407407
277,163.020787664783
278,163.020566203704
279,163.020391203704
280,163.018327777778
281,163.011268199234
282,163.007646296296
283,163.000856018518
284,162.984885536398
285,162.982314814815
286,162.979735648148
287,162.971963276836
288,162.967806018518
289,162.966873148148
290,162.965496296296
291,162.96441712963
292,162.951414312618
293,162.950213937622
294,162.94394212963
295,162.942930320151
296,162.939806018519
297,162.919035648148
298,162.916823148148
299,162.882605555556
300,162.874806967985
301,162.874454166667
302,162.871681481481
303,162.8559326742
304,162.850084770115
305,162.848859698682
306,162.833248116761
307,162.829785185185
308,162.814916666667
309,162.809172222222
310,162.806469444444
311,162.800213888889
312,162.794018678161
313,162.787646892655
314,162.786937853107
315,162.774481321839
316,162.772481944444
317,162.770308380414
318,162.769097685185
319,162.768236574074
320,162.759609259259
321,162.753048611111
322,162.749934259259
323,162.744810185185
324,162.732259416196
325,162.719377777778
326,162.713240583804
327,162.711474074074
328,162.707999537037
329,162.707414814815
330,162.7013
331,162.700909722222
332,162.7006
333,162.700017592593
334,162.683864351852
335,162.681980555556
336,162.681296296296
337,162.66429661017
338,162.659218055556
339,162.652843691149
340,162.65188362069
341,162.648779661017
342,162.646082375479
343,162.64452165725
344,162.642559259259
345,162.636579566855
346,162.629700462963
347,162.569600925926
348,162.557132407407
349,162.554143678161
350,162.54052037037
351,162.535918055556
352,162.52759537037
353,162.524293055556
354,162.521463425926
355,162.502239351852
356,162.499359259259
357,162.491693055556
358,162.480615277778
359,162.474751388889
360,162.470353703704
361,162.470039351852
362,162.461088425926
363,162.448589814815
364,162.420675462963
365,162.419760185185
366,162.419741996234
367,162.419648775895
368,162.397449074074
369,162.396281018519
370,162.390980555556
371,162.38352306968
372,162.380560648148
373,162.378836685824
374,162.376744350282
375,162.375741203704
376,162.373998148148
377,162.363958097928
378,162.362687037037
379,162.353445833333
380,162.343172222222
381,162.328171759259
382,162.316111574074
383,162.307377777778
384,162.304206018519
385,162.302576851852
386,162.299334722222
387,162.289886111111
388,162.279819907407
389,162.27840462963
390,162.259498611111
391,162.252133796296
392,162.244782485876
393,162.237667592593
394,162.228311574074
395,162.216345103578
396,162.21449537037
397,162.211419907407
398,162.206316384181
399,162.202910185185
400,162.183603703704
401,162.179984722222
402,162.177128831418
403,162.169755092593
404,162.151167608286
405,162.150948148148
406,162.126007407407
407,162.091920833333
408,162.079506018519
409,162.07947037037
410,162.068713888889
411,162.062743055556
412,162.052396296296
413,162.038975
414,162.035438323917
415,162.034341203704
416,162.031046759259
417,162.027841203704
418,162.025385220126
419,162.018162037037
420,162.016693032015
421,162.016181018519
422,162.009895480226
423,162.002232758621
424,162.001961111111
425,161.987668079096
426,161.986487037037
427,161.982369907407
428,161.976609722222
429,161.954651851852
430,161.944439351852
431,161.912997685185
432,161.912951388889
433,161.909568518519
434,161.904294444444
435,161.88545787037
436,161.879672222222
437,161.866368518518
438,161.854360648148
439,161.843283333333
440,161.810036252354
441,161.806464689265
442,161.803180092593
443,161.801085648148
444,161.79752962963
445,161.796026388889
446,161.780957407407
447,161.778465740741
448,161.771002314815
449,161.770697269303
450,161.763886939571
451,161.762788888889
452,161.762349537037
453,161.748903954802
454,161.747531378601
455,161.742344907407
456,161.729329166667
457,161.727616760829
458,161.707943469786
459,161.699697269303
460,161.698637931034
461,161.690684259259
462,161.686709722222
463,161.68505
464,161.668265277778
465,161.66281826742
466,161.659835648148
467,161.65665913371
468,161.6467375
469,161.643368055556
470,161.641681481481
471,161.616708333333
472,161.604215160075
473,161.595631481481
474,161.569696327684
475,161.563025
476,161.561295833333
477,161.520475462963
478,161.50500787037
479,161.484675287356
480,161.482705092593
481,161.480900462963
482,161.464089351852
483,161.46023287037
484,161.453135648148
485,161.445579166667
486,161.438241054614
487,161.4199
488,161.418523148148
489,161.413833796296
490,161.409963425926
491,161.40455787037
492,161.39617037037
493,161.395549808429
494,161.394912962963
495,161.382645951036
496,161.378716954023
497,161.369608237548
498,161.363603240741
499,161.356788135593
500,161.337153483992
501,161.32306779661
502,161.3226586629
503,161.303919907407
504,161.299279166667
505,161.27501712963
506,161.252963747646
507,161.24045856102
508,161.227639863548
509,161.226483992467
510,161.225150925926
511,161.218203703704
512,161.211909722222
513,161.208671296296
514,161.2048625
515,161.197353107345
516,161.189254237288
517,161.184172685185
518,161.183418518518
519,161.17361440678
520,161.170462962963
521,161.153035648148
522,161.134750462963
523,161.133931481481
524,161.13172787194
525,161.130495689655
526,161.128523611111
527,161.12507037037
528,161.124046296296
529,161.111583804143
530,161.106519907407
531,161.105347457627
532,161.061347222222
533,161.059345833333
534,161.056082407407
535,161.048564814815
536,161.036873148148
537,161.03412037037
538,160.989672413793
539,160.985413314176
540,160.97256712963
541,160.965348148148
542,160.949168981481
543,160.92552165725
544,160.91912962963
545,160.918051851852
546,160.865189351852
547,160.864298611111
548,160.863488984674
549,160.83895462963
550,160.830005092593
551,160.798875706215
552,160.774481944444
553,160.764793055556
554,160.763684722222
555,160.752494444444
556,160.741874293785
557,160.737044907407
558,160.724599074074
559,160.714724074074
560,160.707657407407
561,160.70521712963
562,160.648132407407
563,160.627676851852
564,160.625905555556
565,160.602655172414
566,160.578022685185
567,160.562468055556
568,160.561756944444
569,160.559200462963
570,160.558859722222
571,160.552771296296
572,160.541558333333
573,160.536867592593
574,160.515081018519
575,160.51143287037
576,160.474040740741
577,160.472206214689
578,160.471718055556
579,160.460105555556
580,160.457574858757
581,160.455366290019
582,160.444364351852
583,160.419187962963
584,160.411079096045
585,160.40747037037
586,160.399538606403
587,160.390659722222
588,160.384510185185
589,160.374718926554
590,160.374285310734
591,160.360364814815
592,160.330725462963
593,160.300106018519
594,160.288941203704
595,160.286689814815
596,160.281510185185
597,160.273572222222
598,160.246763653484
599,160.23169537037
600,160.224926388889
601,160.174466666667
602,160.162491666667
603,160.141764351852
604,160.133957375479
605,160.123807407407
606,160.117177495292
607,160.114153013183
608,160.104845103578
609,160.103300925926
610,160.101750925926
611,160.09245462963
612,160.089456944444
